Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_BL;BL_NumAssets
2020-01-01;VOLKSWAGEN PRF;DE0007664039;87465958595.0;86.8302;A;Consumer Cyclicals;DAX;2020-01-02;2020-12-31;True;Top;8;0.0;10
2020-01-01;DEUTSCHE POST ORD;DE0005552004;42053594874.0;86.2508;A;Industrials;DAX;2020-01-02;2020-12-31;True;Top;9;0.0;10
2020-01-01;MERCK ORD;DE0006599905;45803849447.0;85.6945;A;Healthcare;DAX;2020-01-02;2020-12-31;True;Top;10;6.499012613056072e-18;10
2021-01-01;E.ON ORD;DE000ENAG999;23940913603.0;66.4716;B;Utilities;DAX;2021-01-04;2021-12-31;True;Bottom;1;3.618524750670371e-17;10
2021-01-01;BEIERSDORF ORD;DE0005200000;23798880000.0;66.982;B+;Consumer Non-Cyclicals;DAX;2021-01-04;2021-12-31;True;Bottom;2;0.048311242936126805;10
2021-01-01;RWE ST A ORD;DE0007037129;23376927059.0;67.4966;B+;Utilities;DAX;2021-01-04;2021-12-31;True;Bottom;3;5.7462715141731735e-18;10
2021-01-01;DEUTSCHE BOERSE AG ORD;DE0005810055;26457500000.0;74.5788;B+;Financials;DAX;2021-01-04;2021-12-31;True;Bottom;4;0.03292258728031878;10
2021-01-01;INFINEON TECHNOLOGIES ORD;DE0006231004;40992864490.0;76.4556;A-;Technology;DAX;2021-01-04;2021-12-31;True;Bottom;5;0.0;10
2021-01-01;CONTINENTAL ORD;DE0005439004;16485736356.0;77.7577;A-;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Bottom;6;1.5856456772600502e-18;10
2021-01-01;HEIDELBGCEMENT ORD;DE0006047004;12147056722.0;81.1199;A-;Basic Materials;DAX;2021-01-04;2021-12-31;True;Bottom;7;2.5200924246709944e-17;10
2021-01-01;FRESENIUS SE ORD;DE0005785604;21097347997.0;82.6721;A-;Healthcare;DAX;2021-01-04;2021-12-31;True;Bottom;8;0.011108383835569348;10
2021-01-01;HENKEL& KGAA PRF;DE0006048432;36929338106.0;82.876;A-;Basic Materials;DAX;2021-01-04;2021-12-31;True;Bottom;9;0.4688318302625458;10
2021-01-01;DEUTSCHE TELEKOM AG ORD;DE0005557508;71207613303.0;83.0746;A-;Technology;DAX;2021-01-04;2021-12-31;True;Bottom;10;0.4388259556854392;10
2021-01-01;SAP SE ORD;DE0007164600;131000000000.0;94.5184;A+;Technology;DAX;2021-01-04;2021-12-31;True;Top;1;0.35964620207687736;10
2021-01-01;ALLIANZ SE ORD;DE0008404005;82747230790.0;93.2874;A+;Financials;DAX;2021-01-04;2021-12-31;True;Top;2;0.0;10
2021-01-01;DAIMLER ORD;DE0007100000;51782226107.0;93.1177;A+;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Top;3;0.0;10
2021-01-01;BASF SE ORD;DE000BASF111;59443941076.0;91.926;A+;Basic Materials;DAX;2021-01-04;2021-12-31;True;Top;4;0.11566020908921286;10
2021-01-01;BAYER AG;DE000BAY0017;47308631669.0;89.9633;A;Healthcare;DAX;2021-01-04;2021-12-31;True;Top;5;0.1022536561667972;10
2021-01-01;MUNICH RE ORD;DE0008430026;34016020447.0;88.6884;A;Financials;DAX;2021-01-04;2021-12-31;True;Top;6;5.126243396783026e-18;10
2021-01-01;ADIDAS ORD;DE000A1EWWW0;59703981809.0;88.4878;A;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Top;7;0.06628159978575375;10
2021-01-01;VOLKSWAGEN PRF;DE0007664039;81624611969.0;87.8512;A;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Top;8;0.0;10
2021-01-01;BMW AG;DE0005190003;46621188188.0;86.7145;A;Consumer Cyclicals;DAX;2021-01-04;2021-12-31;True;Top;9;0.002817314470824592;10
2021-01-01;VONOVIA SE;DE000A1ML7J1;33817413946.0;85.9634;A;Real Estate;DAX;2021-01-04;2021-12-31;True;Top;10;0.3533410184105343;10
2022-01-01;PORSCHE SE VZ PRF;DE000PAH0038;25553500000.0;9.0379;D;Consumer Cyclicals;DAX;2022-01-03;2022-12-30;True;Bottom;1;5.1496215061272443e-17;10
