Period;Index;PortfolioSide;Strategy;NumObservations;CumulativeReturn;AnnualisedReturn;AnnualisedVolatility;SharpeRatio;HistoricalVaR95;MaxDrawdown
2020-2024;DAX;Bottom;BuyHold_MCap;1275;47.37;7.97;19.37;0.371;1.69;-38.21
2020-2024;DAX;Bottom;BuyHold_MCap_MinusBenchmark;1252;-3.58;-0.73;11.06;-0.227;1.09;-27.5
2020-2024;DAX;Top;Annual_BlackLitterman;1275;5.37;1.04;23.33;0.06;2.11;-44.0
2020-2024;DAX;Top;Annual_BlackLitterman_MinusBenchmark;1252;-31.0;-7.2;10.84;-0.854;0.98;-35.71
2020-2024;DAX;Top;Annual_Equal;1275;29.87;5.3;21.82;0.238;1.92;-42.4
2020-2024;DAX;Top;Annual_Equal_MinusBenchmark;1275;0.95;0.19;6.39;-0.309;0.58;-13.42
2020-2024;DAX;Top;Annual_MCap;1275;44.44;7.54;21.66;0.335;1.8;-40.95
2020-2024;DAX;Top;Annual_MCap_MinusBenchmark;1252;-2.99;-0.61;5.99;-0.47;0.52;-10.5
2020-2024;DAX;Top;Annual_RiskParity;1275;30.42;5.39;20.9;0.243;1.78;-41.32
2020-2024;DAX;Top;Annual_RiskParity_MinusBenchmark;1252;-12.1;-2.56;6.0;-0.8;0.57;-17.49
2020-2024;DAX;Top;BuyHold_Equal;1275;36.39;6.33;24.8;0.276;2.31;-44.35
2020-2024;DAX;Top;BuyHold_Equal_MinusBenchmark;1275;8.67;1.66;9.03;-0.035;0.81;-13.65
2020-2024;DAX;Top;BuyHold_MCap;1275;57.06;9.33;24.49;0.391;2.18;-43.35
2020-2024;DAX;Top;BuyHold_MCap_MinusBenchmark;1252;5.64;1.11;7.45;-0.135;0.71;-12.18
2020-2024;DAX;TopMinusBottom;Annual_BlackLitterman;1275;-2.06;-0.41;17.07;-0.078;1.58;-21.23
2020-2024;DAX;TopMinusBottom;Annual_Equal;1275;54.99;9.05;12.3;0.573;1.09;-18.75
2020-2024;DAX;TopMinusBottom;Annual_MCap;1275;57.42;9.38;12.97;0.574;1.15;-20.41
2020-2024;DAX;TopMinusBottom;Annual_RiskParity;1275;35.58;6.2;11.57;0.373;1.08;-19.38
2020-2024;DAX;TopMinusBottom;BuyHold_Equal;1275;9.1;1.74;14.13;0.025;1.33;-31.5
2020-2024;DAX;TopMinusBottom;BuyHold_MCap;1275;6.79;1.31;14.78;0.002;1.45;-25.35
2020-2024;SP100;Benchmark;Benchmark_Equal;1258;88.54;13.54;20.28;0.612;1.68;-34.74
2020-2024;SP100;Benchmark;Benchmark_MCap;1218;124.88;18.25;21.76;0.771;1.89;-31.53
2020-2024;SP100;Bottom;Annual_BlackLitterman;1258;66.85;10.8;22.05;0.468;1.87;-37.14
2020-2024;SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;1218;-24.5;-5.65;14.4;-0.497;1.46;-27.54
2020-2024;SP100;Bottom;Annual_Equal;1258;89.54;13.67;21.22;0.599;1.87;-32.41
2020-2024;SP100;Bottom;Annual_Equal_MinusBenchmark;1258;-0.02;-0.0;7.81;-0.264;0.8;-15.91
2020-2024;SP100;Bottom;Annual_MCap;1258;97.62;14.62;21.0;0.643;1.85;-29.53
2020-2024;SP100;Bottom;Annual_MCap_MinusBenchmark;1218;-6.9;-1.47;9.74;-0.347;0.98;-16.96
2020-2024;SP100;Bottom;Annual_RiskParity;1258;73.08;11.62;20.86;0.518;1.85;-33.37
2020-2024;SP100;Bottom;Annual_RiskParity_MinusBenchmark;1218;-17.94;-4.01;10.13;-0.587;1.06;-23.12
2020-2024;SP100;Bottom;BuyHold_Equal;1258;85.43;13.17;22.52;0.558;1.94;-38.71
2020-2024;SP100;Bottom;BuyHold_Equal_MinusBenchmark;1258;-1.11;-0.22;8.71;-0.253;0.82;-10.97
2020-2024;SP100;Bottom;BuyHold_MCap;1258;102.18;15.15;22.85;0.629;2.03;-34.06
2020-2024;SP100;Bottom;BuyHold_MCap_MinusBenchmark;1218;-5.17;-1.09;9.56;-0.315;0.9;-14.7
2020-2024;SP100;Top;Annual_BlackLitterman;1258;88.7;13.56;24.36;0.547;2.17;-30.08
2020-2024;SP100;Top;Annual_BlackLitterman_MinusBenchmark;1218;-7.12;-1.52;11.73;-0.274;1.11;-27.2
2020-2024;SP100;Top;Annual_Equal;1258;40.91;7.11;20.79;0.321;1.7;-30.83
2020-2024;SP100;Top;Annual_Equal_MinusBenchmark;1258;-25.92;-5.83;7.45;-1.087;0.75;-35.32
2020-2024;SP100;Top;Annual_MCap;1258;114.77;16.55;24.0;0.66;2.26;-28.94
2020-2024;SP100;Top;Annual_MCap_MinusBenchmark;1218;6.37;1.29;9.85;-0.062;0.89;-17.49
2020-2024;SP100;Top;Annual_RiskParity;1258;43.8;7.55;20.11;0.345;1.62;-30.54
2020-2024;SP100;Top;Annual_RiskParity_MinusBenchmark;1218;-31.52;-7.53;10.67;-0.903;1.1;-35.03
2020-2024;SP100;Top;BuyHold_Equal;1258;45.13;7.75;21.38;0.346;1.9;-28.74
2020-2024;SP100;Top;BuyHold_Equal_MinusBenchmark;1258;-23.52;-5.23;8.35;-0.884;0.78;-33.73
2020-2024;SP100;Top;BuyHold_MCap;1258;89.29;13.64;24.22;0.552;2.12;-28.97
2020-2024;SP100;Top;BuyHold_MCap_MinusBenchmark;1218;-4.23;-0.89;9.45;-0.298;0.87;-21.38
2020-2024;SP100;TopMinusBottom;Annual_BlackLitterman;1258;7.39;1.44;17.77;0.036;1.74;-29.39
2020-2024;SP100;TopMinusBottom;Annual_Equal;1258;-28.15;-6.41;10.85;-0.774;1.05;-34.85
2020-2024;SP100;TopMinusBottom;Annual_MCap;1258;6.88;1.34;14.19;-0.002;1.34;-24.57
2020-2024;SP100;TopMinusBottom;Annual_RiskParity;1258;-19.78;-4.32;10.45;-0.596;0.98;-28.94
2020-2024;SP100;TopMinusBottom;BuyHold_Equal;1258;-25.43;-5.71;11.84;-0.637;1.18;-37.83
2020-2024;SP100;TopMinusBottom;BuyHold_MCap;1258;-9.77;-2.04;14.5;-0.233;1.46;-28.47
