Date;Index;PortfolioSide;Strategy;PortfolioReturn
2017-03-29;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00358397752105362
2017-03-30;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0027208121775849177
2017-03-31;DAX;TopMinusBottom;Annual_BlackLitterman;0.0010795458930644144
2017-04-03;DAX;TopMinusBottom;Annual_BlackLitterman;-0.010735199315097638
2017-04-04;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004708894983082718
2017-04-05;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0051193998729430175
2017-04-06;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0014001729742304737
2017-04-07;DAX;TopMinusBottom;Annual_BlackLitterman;0.0025272672044621605
2017-04-10;DAX;TopMinusBottom;Annual_BlackLitterman;-0.001054687856354236
2017-04-11;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0077993183375948405
2017-04-12;DAX;TopMinusBottom;Annual_BlackLitterman;0.0013171270843566635
2017-04-13;DAX;TopMinusBottom;Annual_BlackLitterman;0.00333845830731435
2017-04-18;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0009706750507727756
2017-04-19;DAX;TopMinusBottom;Annual_BlackLitterman;-0.003082954187032879
