Index;PortfolioSide;Strategy;Year;AnnualReturn
DAX;TopMinusBottom;Annual_RiskParity;2021;0.01465056529088371
DAX;TopMinusBottom;Annual_RiskParity;2022;0.0137027427574683
DAX;TopMinusBottom;Annual_RiskParity;2023;0.019255016022654337
DAX;TopMinusBottom;Annual_RiskParity;2024;0.214576699388074
DAX;TopMinusBottom;BuyHold_Equal;2015;-0.01715052325604438
DAX;TopMinusBottom;BuyHold_Equal;2016;0.06590693781697987
DAX;TopMinusBottom;BuyHold_Equal;2017;-0.08401349951689796
DAX;TopMinusBottom;BuyHold_Equal;2018;0.1119815851953112
DAX;TopMinusBottom;BuyHold_Equal;2019;0.1372718917315201
DAX;TopMinusBottom;BuyHold_Equal;2020;0.1329280451671857
DAX;TopMinusBottom;BuyHold_Equal;2021;0.043824038587305214
DAX;TopMinusBottom;BuyHold_Equal;2022;-0.22691227767972078
DAX;TopMinusBottom;BuyHold_Equal;2023;0.13502662843486823
DAX;TopMinusBottom;BuyHold_Equal;2024;0.0514017044931907
DAX;TopMinusBottom;BuyHold_MCap;2015;-0.1111211593245306
DAX;TopMinusBottom;BuyHold_MCap;2016;0.05644086498463108
DAX;TopMinusBottom;BuyHold_MCap;2017;-0.024485457041652614
DAX;TopMinusBottom;BuyHold_MCap;2018;0.02575049555495723
DAX;TopMinusBottom;BuyHold_MCap;2019;0.038347416834675796
DAX;TopMinusBottom;BuyHold_MCap;2020;0.11611883210658136
DAX;TopMinusBottom;BuyHold_MCap;2021;0.13201903064648945
DAX;TopMinusBottom;BuyHold_MCap;2022;-0.175208168059251
DAX;TopMinusBottom;BuyHold_MCap;2023;0.046015179939908
DAX;TopMinusBottom;BuyHold_MCap;2024;-0.02035736047278769
SP100;Benchmark;Benchmark_Equal;2015;0.005270504331728487
SP100;Benchmark;Benchmark_Equal;2016;0.13303580816983085
SP100;Benchmark;Benchmark_Equal;2017;0.21301106166350925
SP100;Benchmark;Benchmark_Equal;2018;-0.051560744004759185
SP100;Benchmark;Benchmark_Equal;2019;0.28060069754583483
SP100;Benchmark;Benchmark_Equal;2020;0.1233340875921658
SP100;Benchmark;Benchmark_Equal;2021;0.2768953356805317
SP100;Benchmark;Benchmark_Equal;2022;-0.10217241063327165
SP100;Benchmark;Benchmark_Equal;2023;0.22241013394978548
SP100;Benchmark;Benchmark_Equal;2024;0.19763222837817795
SP100;Benchmark;Benchmark_MCap;2015;-0.009982053425221515
SP100;Benchmark;Benchmark_MCap;2016;0.07071134360010167
SP100;Benchmark;Benchmark_MCap;2017;0.18503016446550635
SP100;Benchmark;Benchmark_MCap;2018;-0.03592382816192241
SP100;Benchmark;Benchmark_MCap;2019;0.3305723104720035
SP100;Benchmark;Benchmark_MCap;2020;0.20212274599713487
SP100;Benchmark;Benchmark_MCap;2021;0.3412693466299175
SP100;Benchmark;Benchmark_MCap;2022;-0.2142041371788681
SP100;Benchmark;Benchmark_MCap;2023;0.3491791873058161
SP100;Benchmark;Benchmark_MCap;2024;0.3155441638003973
SP100;Bottom;Annual_BlackLitterman;2016;0.15046807346190016
SP100;Bottom;Annual_BlackLitterman;2017;0.38057849561427903
SP100;Bottom;Annual_BlackLitterman;2018;-0.17926029318558534
SP100;Bottom;Annual_BlackLitterman;2019;0.25971638790403584
SP100;Bottom;Annual_BlackLitterman;2020;0.012142950612942016
SP100;Bottom;Annual_BlackLitterman;2021;0.17090957682988828
SP100;Bottom;Annual_BlackLitterman;2022;0.0360651576498483
SP100;Bottom;Annual_BlackLitterman;2023;0.05515836915808858
SP100;Bottom;Annual_BlackLitterman;2024;0.2878151782408971
SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2016;0.060213229960171644
SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2017;0.146679960392055
SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2018;-0.12459514667556126
SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2019;-0.033385912279606744
SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2020;-0.16598071921884583
SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2021;-0.10200251957143269
SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2022;0.3216687877492084
SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2023;-0.19994560297508757
SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;2024;-0.04668928547319462
SP100;Bottom;Annual_Equal;2015;-0.005635700388983644
SP100;Bottom;Annual_Equal;2016;0.21601797801484723
SP100;Bottom;Annual_Equal;2017;0.25703780349153327
SP100;Bottom;Annual_Equal;2018;-0.053761629457488636
SP100;Bottom;Annual_Equal;2019;0.27249166791686785
SP100;Bottom;Annual_Equal;2020;0.15102213758657923
SP100;Bottom;Annual_Equal;2021;0.16616574670601292
SP100;Bottom;Annual_Equal;2022;-0.09614718298755742
SP100;Bottom;Annual_Equal;2023;0.18859586003573425
SP100;Bottom;Annual_Equal;2024;0.31440675176993005
