Period;Index;PortfolioSide;Strategy;NumMonths;Alpha_Monthly;Alpha_tstat;Alpha_pvalue;Beta_Mkt;Beta_SMB;Beta_HML;R_squared;Alpha_Annualised
2020-2024;DAX;Bottom;Annual_Equal;60;-0.643;-2.717;0.0066;0.746;0.076;0.011;0.73;-7.716
2020-2024;DAX;Bottom;Annual_Equal_MinusBenchmark;60;-0.83;-3.715;0.0002;-0.129;0.078;-0.195;0.271;-9.954
2020-2024;DAX;Bottom;Annual_MCap;60;-0.477;-2.069;0.0385;0.711;-0.017;-0.052;0.728;-5.728
2020-2024;DAX;Bottom;Annual_MCap_MinusBenchmark;60;-0.933;-3.16;0.0016;-0.149;0.175;-0.191;0.182;-11.191
2020-2024;DAX;Bottom;Annual_RiskParity;60;-0.404;-1.973;0.0485;0.7;0.02;-0.002;0.739;-4.851
2020-2024;DAX;Bottom;Annual_RiskParity_MinusBenchmark;60;-0.856;-3.292;0.001;-0.161;0.227;-0.144;0.188;-10.266
2020-2024;DAX;Bottom;BuyHold_Equal;60;-0.094;-0.274;0.784;0.723;0.017;0.485;0.778;-1.13
2020-2024;DAX;Bottom;BuyHold_Equal_MinusBenchmark;60;-0.296;-0.98;0.327;-0.16;0.013;0.276;0.261;-3.554
2020-2024;DAX;Bottom;BuyHold_MCap;60;0.149;0.405;0.6852;0.684;-0.23;0.417;0.703;1.786
2020-2024;DAX;Bottom;BuyHold_MCap_MinusBenchmark;60;-0.25;-0.98;0.3272;-0.195;0.01;0.284;0.285;-3.005
2020-2024;DAX;Top;Annual_BlackLitterman;60;-0.44;-1.104;0.2696;0.99;-0.624;0.222;0.694;-5.278
2020-2024;DAX;Top;Annual_BlackLitterman_MinusBenchmark;60;-0.913;-2.709;0.0067;0.108;-0.457;0.064;0.1;-10.962
2020-2024;DAX;Top;Annual_Equal;60;-0.078;-0.259;0.7956;0.874;-0.284;0.347;0.79;-0.937
2020-2024;DAX;Top;Annual_Equal_MinusBenchmark;60;-0.251;-0.877;0.3807;-0.008;-0.277;0.123;0.119;-3.007
2020-2024;DAX;Top;Annual_MCap;60;0.108;0.34;0.734;0.877;-0.41;0.257;0.748;1.295
2020-2024;DAX;Top;Annual_MCap_MinusBenchmark;60;-0.302;-1.689;0.0912;-0.003;-0.166;0.109;0.109;-3.627
