Date;Constituent Name;ISIN;Market Cap;ESG Score;ESG Grade;Economic Sector
01.01.2023;BAYER AG;DE000BAY0017;47475643763;92.7709;A+;Healthcare
01.01.2023;RWE ST A ORD;DE0007037129;28123991796;62.1557;B;Utilities
01.01.2023;COVESTRO ORD;DE0006062144;7102032000;82.1135;A-;Basic Materials
01.01.2023;HENKEL& KGAA PRF;DE0006048432;27236851601;81.1253;A-;Basic Materials
01.01.2023;ZALANDO ORD SHS;DE000ZAL1111;8725533660;68.2408;B+;Technology
01.01.2023;DEUTSCHE TELEKOM AG ORD;DE0005557508;92937615312;85.7949;A;Technology
01.01.2023;LINDE PLC ORD;IE000S9YS762;1.50E+11;91.1184;A;Basic Materials
01.01.2023;MERCK ORD;DE0006599905;78651318130;85.888;A;Healthcare
01.01.2023;PORSCHE SE VZ PRF;DE000PAH0038;15692250000;10.8454;D;Consumer Cyclicals
01.01.2023;VOLKSWAGEN PRF;DE0007664039;67576449535;82.4778;A-;Consumer Cyclicals
01.01.2023;BMW AG;DE0005190003;54919971826;92.3719;A+;Consumer Cyclicals
01.01.2023;BEIERSDORF ORD;DE0005200000;27014400000;66.2686;B;Consumer Non-Cyclicals
01.01.2023;HEIDELBGCEMENT ORD;DE0006047004;10287936432;82.1756;A-;Basic Materials
01.01.2023;MTU AERO ENGINES ORD;DE000A0D9PT0;10808219246;85.2126;A;Industrials
01.01.2023;FRESENIUS MEDICAL CARE ORD;DE0005785802;8969649136;82.9221;A-;Healthcare
01.01.2023;FRESENIUS SE ORD;DE0005785604;14784978521;73.0151;B+;Healthcare
01.01.2023;DEUTSCHE POST ORD;DE0005552004;43590110009;74.0891;B+;Industrials
01.01.2023;ALLIANZ SE ORD;DE0008404005;81025781796;88.7551;A;Financials
01.01.2023;MUNICH RE ORD;DE0008430026;42590075024;87.6418;A;Financials
01.01.2023;CONTINENTAL ORD;DE0005439004;8511543415;79.473;A-;Consumer Cyclicals
01.01.2023;SIEMENS HEALTHINEERS AG ORD;DE000SHL1006;52711440000;76.0508;A-;Healthcare
01.01.2023;SYMRISE ORD;DE000SYM9999;14207829289;78.0362;A-;Basic Materials
01.01.2023;ADIDAS ORD;DE000A1EWWW0;22942800000;88.5579;A;Consumer Cyclicals
01.01.2023;HANNOVER RUECKVERSICHERUNG ORD;DE0008402215;22370768357;76.5985;A-;Financials
